Timestamp,Username,VideoID,Comment,Date,Cleaning,Normalisasi,Tokenization,Stopwords,Stemming
2024-02-15T01:57:24Z,@dwisetyowibowo9531,Ua21uPr1eRc,santai ajah brow....jangan mau diadudomba...yang komen negatif belum tentu pendukung yang kalah...makanya sante ajah...jangan terpancing...,2024-02-15T01:57:24Z,santai ajah brow jangan mau diadudomba yang komen negatif belum tentu pendukung yang kalah makanya sante ajah jangan terpancing,santai saja brow jangan mau diadudomba yang komen negatif belum tentu pendukung yang kalah makanya sante saja jangan terpancing,"['santai', 'saja', 'brow', 'jangan', 'mau', 'diadudomba', 'yang', 'komen', 'negatif', 'belum', 'tentu', 'pendukung', 'yang', 'kalah', 'makanya', 'sante', 'saja', 'jangan', 'terpancing']","['santai', 'brow', 'diadudomba', 'komen', 'negatif', 'pendukung', 'kalah', 'sante', 'terpancing']",santai brow diadudomba komen negatif dukung kalah sante pancing
2024-02-15T01:57:05Z,@Channel_Dadakan,Ua21uPr1eRc,"1 ma 3 kaya paling bersih aja, sebelum bedebat ngaca dlu keles, kasian bngt sih kalian 1 ma 3 di bayar untuk pemuhim dosa kalian aja😅😂",2024-02-15T01:57:05Z,ma kaya paling bersih aja sebelum bedebat ngaca dlu keles kasian bngt sih kalian ma di bayar untuk pemuhim dosa kalian aja,sama kayak paling bersih saja sebelum bedebat mengaca dulu kali kasihan banget sih kalian sama di bayar untuk pemuhim dosa kalian saja,"['sama', 'kayak', 'paling', 'bersih', 'saja', 'sebelum', 'bedebat', 'mengaca', 'dulu', 'kali', 'kasihan', 'banget', 'sih', 'kalian', 'sama', 'di', 'bayar', 'untuk', 'pemuhim', 'dosa', 'kalian', 'saja']","['kayak', 'bersih', 'bedebat', 'mengaca', 'kali', 'kasihan', 'banget', 'sih', 'bayar', 'pemuhim', 'dosa']",kayak bersih bedebat kaca kali kasihan banget sih bayar pemuhim dosa
2024-02-15T01:56:33Z,@narotama338,Ua21uPr1eRc,"Pokoknya pihak yg kalah,...semakin nggedabrus omon-omonnya..<br>Jauh dari kata legowo..",2024-02-15T01:56:33Z,pokoknya pihak yg kalah semakin nggedabrus omonomonnya jauh dari kata legowo,pokoknya pihak yang kalah semakin nggedabrus omonomonnya jauh dari kata legowo,"['pokoknya', 'pihak', 'yang', 'kalah', 'semakin', 'nggedabrus', 'omonomonnya', 'jauh', 'dari', 'kata', 'legowo']","['pokoknya', 'kalah', 'nggedabrus', 'omonomonnya', 'legowo']",pokok kalah nggedabrus omonomonnya legowo
2024-02-15T01:56:15Z,@andangkristanto5671,Ua21uPr1eRc,"Haduh masih percaya kecurangan yg di info oleh kubu 01, kubu pembohong asal njeplak.😅",2024-02-15T01:56:15Z,haduh masih percaya kecurangan yg di info oleh kubu kubu pembohong asal njeplak,aduh masih percaya kecurangan yang di info oleh kubu kubu pembohong asal njeplak,"['aduh', 'masih', 'percaya', 'kecurangan', 'yang', 'di', 'info', 'oleh', 'kubu', 'kubu', 'pembohong', 'asal', 'njeplak']","['aduh', 'percaya', 'kecurangan', 'info', 'kubu', 'kubu', 'pembohong', 'njeplak']",aduh percaya curang info kubu kubu bohong njeplak
2024-02-15T01:55:30Z,@munawirkurtubi7582,Ua21uPr1eRc,Kalau sudah tidak diercaya oleh masyarakat sekarang cari kepercayaan luar negeri,2024-02-15T01:55:30Z,kalau sudah tidak diercaya oleh masyarakat sekarang cari kepercayaan luar negeri,kalau sudah tidak diercaya oleh masyarakat sekarang cari kepercayaan luar negeri,"['kalau', 'sudah', 'tidak', 'diercaya', 'oleh', 'masyarakat', 'sekarang', 'cari', 'kepercayaan', 'luar', 'negeri']","['diercaya', 'masyarakat', 'cari', 'kepercayaan', 'negeri']",diercaya masyarakat cari percaya negeri
2024-02-15T01:54:57Z,@bhocahpinggiran2918,Ua21uPr1eRc,Kalau tidak percaya langsung surve ke kampung&quot; ke TPS.  Nanti kmu akan menemukan jwabanya .,2024-02-15T01:54:57Z,kalau tidak percaya langsung surve ke kampung ke tps nanti kmu akan menemukan jwabanya,kalau tidak percaya langsung surve ke kampung ke tps nanti kamu akan menemukan jwabanya,"['kalau', 'tidak', 'percaya', 'langsung', 'surve', 'ke', 'kampung', 'ke', 'tps', 'nanti', 'kamu', 'akan', 'menemukan', 'jwabanya']","['percaya', 'langsung', 'surve', 'kampung', 'tps', 'menemukan', 'jwabanya']",percaya langsung surve kampung tps temu jwabanya
2024-02-15T01:54:30Z,@mustajabtajab4277,Ua21uPr1eRc,Slmat untuk 02 ✌️✌️✌️✌️,2024-02-15T01:54:30Z,slmat untuk,selamat untuk,"['selamat', 'untuk']",['selamat'],selamat
2024-02-15T01:54:21Z,@HHamimullah,Ua21uPr1eRc,"Buka angkanya,jngn cuma berbicara",2024-02-15T01:54:21Z,buka angkanyajngn cuma berbicara,buka angkanyajngn cuma berbicara,"['buka', 'angkanyajngn', 'cuma', 'berbicara']","['buka', 'angkanyajngn', 'berbicara']",buka angkanyajngn bicara
2024-02-15T01:54:21Z,@astrianaana2273,Ua21uPr1eRc,Ahhh banyak omong bawa&quot;filipina pemilihan di<br>..filipina sama negara kita beda drunnnn di filipina bukan masyarakat yg memilih tapi pemerintah....kebiasaan paslon 01 kebanyakan bacot sama seperti junjungan nya,2024-02-15T01:54:21Z,ahhh banyak omong bawafilipina pemilihan di filipina sama negara kita beda drunnnn di filipina bukan masyarakat yg memilih tapi pemerintah kebiasaan paslon kebanyakan bacot sama seperti junjungan nya,ah banyak omong bawafilipina pemilihan di filipina sama negara kita beda drunnnn di filipina bukan masyarakat yang memilih tapi pemerintah kebiasaan paslon kebanyakan bacot sama seperti junjungan ya,"['ah', 'banyak', 'omong', 'bawafilipina', 'pemilihan', 'di', 'filipina', 'sama', 'negara', 'kita', 'beda', 'drunnnn', 'di', 'filipina', 'bukan', 'masyarakat', 'yang', 'memilih', 'tapi', 'pemerintah', 'kebiasaan', 'paslon', 'kebanyakan', 'bacot', 'sama', 'seperti', 'junjungan', 'ya']","['ah', 'omong', 'bawafilipina', 'pemilihan', 'filipina', 'negara', 'beda', 'drunnnn', 'filipina', 'masyarakat', 'memilih', 'pemerintah', 'kebiasaan', 'paslon', 'kebanyakan', 'bacot', 'junjungan']",ah omong bawafilipina pilih filipina negara beda drunnnn filipina masyarakat pilih perintah biasa paslon banyak bacot junjung
2024-02-15T01:53:51Z,@djatiengsun4617,Ua21uPr1eRc,"Buat saya itu gini siap bertanding itu harus siap kalah,  klo bicara kecurangan saya yakin ga ada kecurangan.di setiap TPS itu, ada Bawaslu,saksi di setiap masing-masing partai,saksi anggota caleg DPRD, DPR RI, provinsi,ada anggota polri, TNI,Limas..<br>Terus DPT yang hadir, sesuai dengan kartu yg di coblos ...<br>Dan semua saksi tanda tangan.<br>Justru yg merasa dicurangi, biasanya udah biasa curang.<br>Gitu aja kok repot.......",2024-02-15T01:53:51Z,buat saya itu gini siap bertanding itu harus siap kalah klo bicara kecurangan saya yakin ga ada kecurangan di setiap tps itu ada bawaslusaksi di setiap masingmasing partaisaksi anggota caleg dprd dpr ri provinsiada anggota polri tnilimas terus dpt yang hadir sesuai dengan kartu yg di coblos dan semua saksi tanda tangan justru yg merasa dicurangi biasanya udah biasa curang gitu aja kok repot,buat saya itu begini siap bertanding itu harus siap kalah kalau bicara kecurangan saya yakin tidak ada kecurangan di setiap tps itu ada bawaslusaksi di setiap masingmasing partaisaksi anggota caleg dprd dpr ri provinsiada anggota polri tnilimas terus dapat yang hadir sesuai dengan kartu yang di coblos dan semua saksi tanda tangan justru yang merasa dicurangi biasanya sudah biasa curang begitu saja kok repot,"['buat', 'saya', 'itu', 'begini', 'siap', 'bertanding', 'itu', 'harus', 'siap', 'kalah', 'kalau', 'bicara', 'kecurangan', 'saya', 'yakin', 'tidak', 'ada', 'kecurangan', 'di', 'setiap', 'tps', 'itu', 'ada', 'bawaslusaksi', 'di', 'setiap', 'masingmasing', 'partaisaksi', 'anggota', 'caleg', 'dprd', 'dpr', 'ri', 'provinsiada', 'anggota', 'polri', 'tnilimas', 'terus', 'dapat', 'yang', 'hadir', 'sesuai', 'dengan', 'kartu', 'yang', 'di', 'coblos', 'dan', 'semua', 'saksi', 'tanda', 'tangan', 'justru', 'yang', 'merasa', 'dicurangi', 'biasanya', 'sudah', 'biasa', 'curang', 'begitu', 'saja', 'kok', 'repot']","['bertanding', 'kalah', 'bicara', 'kecurangan', 'kecurangan', 'tps', 'bawaslusaksi', 'masingmasing', 'partaisaksi', 'anggota', 'caleg', 'dprd', 'dpr', 'ri', 'provinsiada', 'anggota', 'polri', 'tnilimas', 'hadir', 'sesuai', 'kartu', 'coblos', 'saksi', 'tanda', 'tangan', 'dicurangi', 'curang', 'repot']",tanding kalah bicara curang curang tps bawaslusaksi masingmasing partaisaksi anggota caleg dprd dpr ri provinsiada anggota polri tnilimas hadir sesuai kartu coblos saksi tanda tangan curang curang repot
