Username,Comment,Cleaning
@user-ls8gy6xb1l,PenghianTan jokowi.aksn cepat balasannya jokowi gibran akan dihianati prabowo.kuta tunggu,penghiantan jokowi aksn cepat balasannya jokowi gibran akan dihianati prabowo kuta tunggu
@husennur3579,Layak kemenangan no. ✌✌✌✌✌✌telaakkk👉👉👉👉,layak kemenangan no telaakkk
@user-mp5be6zw5n,Mantap 02,mantap
@user-xn2qb3hl7y,"Sudahlah untuk antosi yas rakyat indonesia, sudah pilihan rakyat",sudahlah untuk antosi yas rakyat indonesia sudah pilihan rakyat
@hilmarief,Hebat sekali angka itu bs hampir sama tdk bergerak seperti sdh terokestrasi,hebat sekali angka itu bs hampir sama tdk bergerak seperti sdh terokestrasi
@mrjay3776,sori ye sori ye ✌️✌️✌️,sori ye sori ye
@SarkemLos-rq1nv,Calon dari PDI jadi ayam sayur..😁😁,calon dari pdi jadi ayam sayur
@AarnisHia,Tuhan  sudah tau mana yg cocok.,tuhan sudah tau mana yg cocok
@Bgs67,Orang yg sudah kalah biasanya ngeyel 😅😅😅😅 Pak Prabowo pernah bilang saat di debat.Kalau tidak senang tidak suka dengan saya (Pragib) JANGAN PILIH SAYA&quot; 😮 Tapi kan kenyataan rakyat banyak yg pilih 02 😅😅😅😅😅 jadi di mana letak kesalahannya 😊,orang yg sudah kalah biasanya ngeyel pak prabowo pernah bilang saat di debat kalau tidak senang tidak suka dengan saya pragib jangan pilih saya tapi kan kenyataan rakyat banyak yg pilih jadi di mana letak kesalahannya
@bambangsetyowidodo2582,"Di permainan catur 02 di kasih por , gimana bila memimpin nantinya bangsa dan negara ✍️ . Gak perlu .... Hukum aja di mainkan , mkmk , panwaslu , KPU  dst .  Kalah  tetap terhormat PDIP tetap yg di depan✍️👍",di permainan catur di kasih por gimana bila memimpin nantinya bangsa dan negara gak perlu hukum aja di mainkan mkmk panwaslu kpu dst kalah tetap terhormat pdip tetap yg di depan
@riskiriski512,dari tahun 2014 jika kalah mesti ada kecuragan agama aja di jual apa  lg fitnah2 smapah di mwgata ne yang kasian org pengikut baaahan anis yohanes,dari tahun jika kalah mesti ada kecuragan agama aja di jual apa lg fitnah2 smapah di mwgata ne yang kasian org pengikut baaahan anis yohanes
@user-ts7oi8es3e,"Tumbangkan banteng,,, PDIP kalah 🤣🤣🤣karna tak ada pak Joko Widodo",tumbangkan banteng pdip kalah karna tak ada pak joko widodo
@muhammadsofyan7206,senyuman anis ngeselin pengen tabok,senyuman anis ngeselin pengen tabok
@bsasport8067,"Yg pasti negri ini suka pemimpin yg suka joget2...debat caprea/cawapres td penting...terlebih yg ubah aturan ,rakyat td mau tau 😂😂😂",yg pasti negri ini suka pemimpin yg suka joget2 debat capreacawapres td penting terlebih yg ubah aturan rakyat td mau tau
@alisaari9177,Please we are wait and see,please we are wait and see
@piterm16simanjuntak56,"Makanya jgn cuma omong doang juru bicara partai.  Kecurangan hrs terstruktur dan 50% dari seluruh indonesia. Bisa di pidana jika tidak lengkap dokumen dan terstruktur dan masif. 80% . Rakyat dari semua partai puas thdp Pekerjaan Jokowi selama 9 thn ini, termasuk stabilitas keamanaan pemilu.",makanya jgn cuma omong doang juru bicara partai kecurangan hrs terstruktur dan dari seluruh indonesia bisa di pidana jika tidak lengkap dokumen dan terstruktur dan masif rakyat dari semua partai puas thdp pekerjaan jokowi selama thn ini termasuk stabilitas keamanaan pemilu
@AndimeongMeong-wz6fr,Ouik qowon eror diperhitungan suara harus dikaji ulang bisa jadi dalam kecurangan ouik yg akan kenankan denda 12 triliun didalam demokrasi indonesia biar para paslon jera bila membuat pelangaran dipemiilu di2024.,ouik qowon eror diperhitungan suara harus dikaji ulang bisa jadi dalam kecurangan ouik yg akan kenankan denda triliun didalam demokrasi indonesia biar para paslon jera bila membuat pelangaran dipemiilu di2024
@user-jv4dm8te5u,Saatnya paslon 02  menang mau hitung manual atau quick count  02 menang❤❤❤✌️✌️💪💪  dari NTT  Doa kami dari masyarakat indonesia bagian Timur untk Bapa prabowo- Gibran❤❤,saatnya paslon menang mau hitung manual atau quick count menang dari ntt doa kami dari masyarakat indonesia bagian timur untk bapa prabowo gibran
@philipmustamumustamu5826,"Yes, Indonesia Emas, terbukti...",yes indonesia emas terbukti
@user-so7dp1tm1b,Km siapa km bukan siapa siapa,km siapa km bukan siapa siapa
@nisaapriliana8022,"Jadi presiden pilihan rakyat yg mencoblos secara demokrasi aman damai TPS ,biar kita beda calon presiden tp yg menang p,prabowo d TPS,,,",jadi presiden pilihan rakyat yg mencoblos secara demokrasi aman damai tps biar kita beda calon presiden tp yg menang pprabowo d tps
@nisaapriliana8022,"Hasil hitung cepat ,sama dg hasil yg d hitung d TPS setelah selesai d hitung saksi TNI ,polri,dn setiap partai punya saksi waktu d hitung d TPS,,,jd hasil hitung cepat sama dg hitung isi dlm kotak suara,,,yg  d siqrkan kompas,,,",hasil hitung cepat sama dg hasil yg d hitung d tps setelah selesai d hitung saksi tni polridn setiap partai punya saksi waktu d hitung d tpsjd hasil hitung cepat sama dg hitung isi dlm kotak suarayg d siqrkan kompas
@AbdulHadi-gu9wb,Kami sangat meragukan dgn kemengan dgn secepatnya bs mencapai dgn peringkat tinggi . Saya sangat yakin ada kecurangan dlm pemilu kali ini .,kami sangat meragukan dgn kemengan dgn secepatnya bs mencapai dgn peringkat tinggi saya sangat yakin ada kecurangan dlm pemilu kali ini
@user-zs1wu3wm6r,Kalo ingin di laksanakan nya dengan baik dengan secara netral perhitungan C1 dengan sirekap nya harus benar2 teliti di hitung nya soal nya ada yang sudah beres terus perhitungan paslon 02 di C1 nya ada 125 jiwa yang sah memilih nya tapi di data sirekap nya berubah menjadi 425 jiwa yang sah memilih nya maka lebih nya saja ada 300 jiwa jadi ada kecurangan2 di data sirekap nya itu bukan di 1 tps tapi masih banyak lagi yang melakukan kecurangan2 seprti itu dan sekarang sirekap nya juga sebagian jadi tidak bisa di gunakan ada juga yang error tidak tahu knapa bisa jdi error gtu,kalo ingin di laksanakan nya dengan baik dengan secara netral perhitungan c1 dengan sirekap nya harus benar2 teliti di hitung nya soal nya ada yang sudah beres terus perhitungan paslon di c1 nya ada jiwa yang sah memilih nya tapi di data sirekap nya berubah menjadi jiwa yang sah memilih nya maka lebih nya saja ada jiwa jadi ada kecurangan2 di data sirekap nya itu bukan di tps tapi masih banyak lagi yang melakukan kecurangan2 seprti itu dan sekarang sirekap nya juga sebagian jadi tidak bisa di gunakan ada juga yang error tidak tahu knapa bisa jdi error gtu
@RekiYAnis,RAKYAT TIDAK BUTUH ORANG ANGKUH DAN SUKA MENJELEKKAN ORANG LAIN..... SORRY YEEEE..... APALAGI YG UMBAR JANJI HASILNYA NOL BESAR....,rakyat tidak butuh orang angkuh dan suka menjelekkan orang lain sorry yeeee apalagi yg umbar janji hasilnya nol besar
@user-mu8mv6sn4s,Kalo udah kalah PDIP gak usah ngusik yang lain..... Jokowi itu banyak pengikut..... PDIP nyungsep....saya milih DPRD PDIP klo presiden pilih Prabowo no 2,kalo udah kalah pdip gak usah ngusik yang lain jokowi itu banyak pengikut pdip nyungsep saya milih dprd pdip klo presiden pilih prabowo no
@user-jv4dm8te5u,Semangat Mas Gibran..❤❤✌️💪,semangat mas gibran
@aulia-212,Minta kpu pusat /kota /kab. live streaming aja proses rekap data di kpu... agar terbuka dan tidak ada data yg ditutupi atau dicurangi,minta kpu pusat kota kab live streaming aja proses rekap data di kpu agar terbuka dan tidak ada data yg ditutupi atau dicurangi
@AdamSaputra-lw2lb,Terimakasih banyak untuk semuanya,terimakasih banyak untuk semuanya
@PipinTaria,Kalo kalah kalah endak usah banyak bicara si kampung saya ajakcapes no 1dab 3 cuma dapat 5 biji,kalo kalah kalah endak usah banyak bicara si kampung saya ajakcapes no 1dab cuma dapat biji
@rahmats8675,"Punten Admin, itu live chat Kenapa masih dibuka? padahal isinya ujaran kebencian, sarkas, carut marut. udah saling serang ituh di live chat. dimaitiin aja menurut saya.",punten admin itu live chat kenapa masih dibuka padahal isinya ujaran kebencian sarkas carut marut udah saling serang ituh di live chat dimaitiin aja menurut saya
@manusiagaib189,"Walaikum salam wbt, semoga kecurangan bisa ditangani diusut tuntas. Salam damai",walaikum salam wbt semoga kecurangan bisa ditangani diusut tuntas salam damai
@user-gy2tg7km6z,"pemilu kali ini banyak yg golput,banyak yg tidak nyoblos,krna sistem sekarang tidak seperti dulu,sekarang yg punya KTP kampung harus pulkam,dan banyak yg gak sempet,termasuk 12 keluarga sya,KTP kami DKI tapi kami tinggal di Bekasi,karna malam nya banjir hingga tidak bisa keluar rumah semua kendaraan tidak bisa keluar dari jalur pemukiman kami,kami coba untuk nyoblos di daerah terdekat tapi di tolak,terpaksa kami sekeluarga tidak bisa menggunakan hak suara kami.puluhan keluarga tetangga juga gak bisa nyoblos krna gk sempat pulang kampung.",pemilu kali ini banyak yg golputbanyak yg tidak nyobloskrna sistem sekarang tidak seperti dulusekarang yg punya ktp kampung harus pulkamdan banyak yg gak sempettermasuk keluarga syaktp kami dki tapi kami tinggal di bekasikarna malam nya banjir hingga tidak bisa keluar rumah semua kendaraan tidak bisa keluar dari jalur pemukiman kamikami coba untuk nyoblos di daerah terdekat tapi di tolakterpaksa kami sekeluarga tidak bisa menggunakan hak suara kami puluhan keluarga tetangga juga gak bisa nyoblos krna gk sempat pulang kampung
@Rahmathanting,Mendin begini pemilihan kedepannya  jgn pakai bilik semuanya harus mencoblos secara terang terangan supaya TDK ada kata penasarang,mendin begini pemilihan kedepannya jgn pakai bilik semuanya harus mencoblos secara terang terangan supaya tdk ada kata penasarang
@user-js7cu3jv9e,Lembaga survey yg kerjasama dgn istana 😅,lembaga survey yg kerjasama dgn istana
@mamansuparman7668,Kalah kokg legowo sih..😂,kalah kokg legowo sih
@EdiJunaedi-xw2in,Percuma dong buat apa ada pemilu kalau ada hasil yg di lihat kpu funsi nye apaan,percuma dong buat apa ada pemilu kalau ada hasil yg di lihat kpu funsi nye apaan
@putraindr4giri,Tu muke ama nada bicara nya ketahuan tuh 🤣,tu muke ama nada bicara nya ketahuan tuh
@putraindr4giri,👍🤣 berkisar 24 25 26 57 58 59 15 16 17   disetiap prov ya 🤣🤣🤣🤣,berkisar disetiap prov ya
@boyanjas2149,Quick count Adalah penggiringan Opini di masyarakat untuk menutupi kecurangan hasil suara di KPU.,quick count adalah penggiringan opini di masyarakat untuk menutupi kecurangan hasil suara di kpu
@beniatar2562,Jangan ditayang dulu hasil masih ada kecurangan,jangan ditayang dulu hasil masih ada kecurangan
@HafiziMuhammad-bg2qm,"Media itu ap sj bs dlakukua,it buat tan manusia jg media",media itu ap sj bs dlakukuait buat tan manusia jg media
@ajuajun7722,Hasil curang cepat suara ganda,hasil curang cepat suara ganda
@darasitanggang3865,urut dua blm pasti no 2 mng kntl ajg,urut dua blm pasti no mng kntl ajg
@Asyim.Rere.Podcast,tolong lapak. kebijakannya banyak masyarakat Madura. trutama di bangkalan ada 1 ampung tidak dapat surat suara  &amp; di kapung saya 7 kluarga tidak dapat suara,tolong lapak kebijakannya banyak masyarakat madura trutama di bangkalan ada ampung tidak dapat surat suara di kapung saya kluarga tidak dapat suara
@baby_salsa_channel,Smpai brpa putaran?,smpai brpa putaran
@BVX890,hampir sama angka dri semua propinsi.<br>hmm🤔🤔🤔,hampir sama angka dri semua propinsi hmm
@MANIAKNONTON,PDI tanpa Jokowi rungkad 😂,pdi tanpa jokowi rungkad
@Tapki_Tapki,"Makan tuh kesombongan waktu debat, kubu 02 diserang kanan kiri<br>Gak pantas liatnya<br>Good job buat yang menang",makan tuh kesombongan waktu debat kubu diserang kanan kirigak pantas liatnyagood job buat yang menang
@cisiliasgreenhousebandung6253,"Tuhan tidak tidur, doa orang yang teraniaya sangat besar kuasa nya. Meski dihina,dicela difutnah , kesabaran ada pada dirinya. Salam sehat dan salam damai. Untuk kira semua. Selamat untuk bapak Prabowo Subianto dan mas Gibran Rakabuming Raka. Jaga amanah dan selalu rendah hati serta menjadisaluran berkat untuk seluruh rakyat Indonesia. Tuhan memberkati",tuhan tidak tidur doa orang yang teraniaya sangat besar kuasa nya meski dihinadicela difutnah kesabaran ada pada dirinya salam sehat dan salam damai untuk kira semua selamat untuk bapak prabowo subianto dan mas gibran rakabuming raka jaga amanah dan selalu rendah hati serta menjadisaluran berkat untuk seluruh rakyat indonesia tuhan memberkati
@kangeful1977,"Yang tidak terima mubahalah saja, jika yaqin ada kecurangan.",yang tidak terima mubahalah saja jika yaqin ada kecurangan
@bagusshungkono8294,"Berjuang untuk anaknya jokowi, demi anaknya syarat cawapres tdk memenuhi syarat usia lalu diobok2 biar bisa jd cawapres;<br>Nanti jg poslsi presidsn prabowo trpilih di jabat oleh anak jokowi; krn sudah direncanakn kekuasaan dinasti jokowi;<br>Siap2 ekonomi susah pajak naek, harga BBM naek, harga pupuk naek&amp;sulit harga beras naek&amp;smua krn keserakahan jokowi demi anaknya dpt jabatan, malu lah lek jokowi",berjuang untuk anaknya jokowi demi anaknya syarat cawapres tdk memenuhi syarat usia lalu diobok2 biar bisa jd cawapresnanti jg poslsi presidsn prabowo trpilih di jabat oleh anak jokowi krn sudah direncanakn kekuasaan dinasti jokowisiap2 ekonomi susah pajak naek harga bbm naek harga pupuk naeksulit harga beras naeksmua krn keserakahan jokowi demi anaknya dpt jabatan malu lah lek jokowi
@user-ex6qq5fy4q,"Di Madura banyak terjadi kecurangan dari pihak Paslon nomor urut 2 pak, banyak yg di coblos duluan sebelum di coblos oleh rakyat, mohon di adili kecurangan ini ,,",di madura banyak terjadi kecurangan dari pihak paslon nomor urut pak banyak yg di coblos duluan sebelum di coblos oleh rakyat mohon di adili kecurangan ini
@user-rj1nc3ob6m,Tinggal nungguin ancur doang ni hahahah,tinggal nungguin ancur doang ni hahahah
@kacapruktv855,"Hahaha orang juga tau yg jahat yg baik pak, yg suka ngasut yg suka jelek&quot;in dan yg jelas jejak digital ada yg di bantu malah nusuk dari belakang. Hadeeeeh ga nerima kalah sih g dewasa haha",hahaha orang juga tau yg jahat yg baik pak yg suka ngasut yg suka jelekin dan yg jelas jejak digital ada yg di bantu malah nusuk dari belakang hadeeeeh ga nerima kalah sih g dewasa haha
@duniayoutube9705,Semoga pak Prabowo Subianto panjang umur dan sehat selalu dan menjadi presiden R1 seterusnya aamiin ya robbal alamin.,semoga pak prabowo subianto panjang umur dan sehat selalu dan menjadi presiden r1 seterusnya aamiin ya robbal alamin
@asdumcirebon1013,DOAKU UNTUK NEGERIKU<br><br>Ya Allah Ya Hayyu Ya Qayyuum...<br>Ya Rahman Ya Rohiim....<br>Ya Qowiyyu Ya &#39;Aziiz....<br>Ya Mu&quot;thy Ya Maani&#39;.....<br>Ya Mu&#39;izz Ya Muzill......<br>Ya Man biyadihi malakutussamawati wal ardhi.<br>Ya Allah Ya Jabbar.... Siapa Pun Orang Yang Terpilih Jadi Pemimpin<br>Hanya Engkau Yang Dapat Memilihkan PEMIMPIN REPUBLIK INDONESIA YANG TERPENTING DAMAI BERKAH KITA SEMUA BERSAUDARA BERSAHABAT RUKUNN<br>KAMI  HANYA BISA  SAMINA WA THO NA AAMIIN ALLOHHUMMA AAMIIN,doaku untuk negerikuya allah ya hayyu ya qayyuum ya rahman ya rohiim ya qowiyyu ya aziiz ya muthy ya maani ya muizz ya muzill ya man biyadihi malakutussamawati wal ardhi ya allah ya jabbar siapa pun orang yang terpilih jadi pemimpinhanya engkau yang dapat memilihkan pemimpin republik indonesia yang terpenting damai berkah kita semua bersaudara bersahabat rukunnkami hanya bisa samina wa tho na aamiin allohhumma aamiin
@duniayoutube9705,Pantas sangat pak Prabowo Subianto yang terpilih sebagai presiden R1 tahun ini aamiin ya robbal alamin.,pantas sangat pak prabowo subianto yang terpilih sebagai presiden r1 tahun ini aamiin ya robbal alamin
@thosliko1676,02 is the best... Siap utk dilantik sebagai presiden RI periode th 2024 _  th 2029.. Pak Pak Prabowo dan Mas Gibran..👍👍👍,is the best siap utk dilantik sebagai presiden ri periode th th pak pak prabowo dan mas gibran
@yurmansyahyunas9971,Kalau tdk siap kalah jangan bertanding,kalau tdk siap kalah jangan bertanding
@user-if7fq7ul5r,semoga sehat selalu pak prabowo dan gibran,semoga sehat selalu pak prabowo dan gibran
@user-if7fq7ul5r,semoga sehat selalu pak prabowo dan gibran,semoga sehat selalu pak prabowo dan gibran
@Afriansyah-hi7jx,Klu msu ikut bertanding brarti siap kalah bos..jgn suka suuzoon. Klu kalah terimah aj. Klu gk mau terima gk ush ikut bos!!!,klu msu ikut bertanding brarti siap kalah bos jgn suka suuzoon klu kalah terimah aj klu gk mau terima gk ush ikut bos
@aiminaje8049,harusnya smua stasiun tv sepakat menurun hasil quick count di ganti real count KPU agar pak prabowo menang dgn kepercayaan penuh dri seluruh rakyat indonesia dan menjdi pemimpin kita smua dgn NOL kecurangan terima kasih pada smua stasiun tv atas partisipasi informasi publik nya agar smua terhindar dri HOAX&quot; yg di sebar oleh orang&quot;yg ingin mengadu domba anak bangsa.. Amin👏🤲,harusnya smua stasiun tv sepakat menurun hasil quick count di ganti real count kpu agar pak prabowo menang dgn kepercayaan penuh dri seluruh rakyat indonesia dan menjdi pemimpin kita smua dgn nol kecurangan terima kasih pada smua stasiun tv atas partisipasi informasi publik nya agar smua terhindar dri hoax yg di sebar oleh orangyg ingin mengadu domba anak bangsa amin
@aiminaje8049,harusnya smua stasiun tv sepakat menurun hasil quick count di ganti real count KPU agar pak prabowo menang dgn kepercayaan penuh dri seluruh rakyat indonesia dan menjdi pemimpin kita smua dgn NOL kecurangan terima kasih pada smua stasiun tv atas partisipasi informasi publik nya agar smua terhindar dri HOAX&quot; yg di sebar oleh orang&quot;yg ingin mengadu domba anak bangsa.. Amin👏🤲,harusnya smua stasiun tv sepakat menurun hasil quick count di ganti real count kpu agar pak prabowo menang dgn kepercayaan penuh dri seluruh rakyat indonesia dan menjdi pemimpin kita smua dgn nol kecurangan terima kasih pada smua stasiun tv atas partisipasi informasi publik nya agar smua terhindar dri hoax yg di sebar oleh orangyg ingin mengadu domba anak bangsa amin
@user-if7fq7ul5r,❤❤❤❤❤❤ 02,
@junaidijuned4077,Alhamdulillah mudah mudahan Alloh SWT memberi keajaiban untuk PG sampai di istana negara amin amin ya robbal alamin 🤲🤲,alhamdulillah mudah mudahan alloh swt memberi keajaiban untuk pg sampai di istana negara amin amin ya robbal alamin
@bagusshungkono8294,Saya bangga dg prabowo menang jd capres tp saya brduka Lek jokowi serakah kekuasaan menghalalkan sgala cara supaya anaknya bisa id wapres dg mengubah peraturan undang2an syarat usia wapres; dinasti lek joko demi anaknya merusak demokrasi; rakyat akan lbh sengsara krn dipimpin oleh dinasti haus kekiasaan,saya bangga dg prabowo menang jd capres tp saya brduka lek jokowi serakah kekuasaan menghalalkan sgala cara supaya anaknya bisa id wapres dg mengubah peraturan undang2an syarat usia wapres dinasti lek joko demi anaknya merusak demokrasi rakyat akan lbh sengsara krn dipimpin oleh dinasti haus kekiasaan
@aris120,"Kadang saya gak paham pola pikir 01 yg beranggapan curang,terus tim pengawas 01 ngapain aja,tidur ya jadi gak<br> tau.ingat suara rakyat jgn di anggap curang,ke 3 paslon sdh punya saksi masing masing.",kadang saya gak paham pola pikir yg beranggapan curangterus tim pengawas ngapain ajatidur ya jadi gak tau ingat suara rakyat jgn di anggap curangke paslon sdh punya saksi masing masing
@saadmawisnu7180,Malu sama rakyat pikun tak layak di teruskan,malu sama rakyat pikun tak layak di teruskan
@sky_wee0785,YANG KALAH MENJELASKAN YANG MENANG MERAYAKAN 02#❤❤❤,yang kalah menjelaskan yang menang merayakan
@ramzena63,Rakyat gak ada yg percaya dg Quick Count....,rakyat gak ada yg percaya dg quick count
@oliviaolifah358,Nggon ku no 2 kabeh nyoblos e,nggon ku no kabeh nyoblos e
@user-lh6bf1dl3x,Semoga pak prabowo subianto menang,semoga pak prabowo subianto menang
@iwangunawan3898,"Kalah ya kalah aja ,,kenapa cari kesalahan terus 😅..",kalah ya kalah aja kenapa cari kesalahan terus
@zulkifli4219,"Yg namanya hitung cepat pasti banyak salahnya, kalau hitung lambat pasti benar.",yg namanya hitung cepat pasti banyak salahnya kalau hitung lambat pasti benar
@SuCipto-pu1up,"Dari dulu yg kalah mesti mncari cari dan tidak trima klo kalah , pasti ada kecurangan , sudahlah terima kkalahan dengan lapang dada , rakyat tau mna yg pling trbaik buat negeri ini .",dari dulu yg kalah mesti mncari cari dan tidak trima klo kalah pasti ada kecurangan sudahlah terima kkalahan dengan lapang dada rakyat tau mna yg pling trbaik buat negeri ini
@mountararatministry9735,"KALAU SUDAH KALAH, KALAHLAH SAJA, MASA SEPAK BOLA ITU SANGAT BESAR, JIKA ANDA MERUSAK SEPAK BOLA NASIONAL, MAKA MASA SEPAK BOLA AKAN MENGHANCURKAN ANDA. ENTE HARUS PAHAM ITU.",kalau sudah kalah kalahlah saja masa sepak bola itu sangat besar jika anda merusak sepak bola nasional maka masa sepak bola akan menghancurkan anda ente harus paham itu
@sigitpurnomo6610,aceh tidak belajar dari 2019 <br>masih aja memilih diluar dukungan jkw,aceh tidak belajar dari masih aja memilih diluar dukungan jkw
@user-ld9jc8nt9h,Banyak omon&quot;pret&quot;&#39;😂😢,banyak omonpret
@user-dh1oo8ex8p,"iya bnyak yg dari 03, hujat 02...? yg berlebihan jelekin nyah,..? &amp; allah buktikan yg berhak indonesia maju &amp; sejahtra, kepda 02 , semoga amanah buat bp prabowo &amp; bp gibran,✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️",iya bnyak yg dari hujat yg berlebihan jelekin nyah allah buktikan yg berhak indonesia maju sejahtra kepda semoga amanah buat bp prabowo bp gibran
@user-ld9jc8nt9h,"Trima aja kekalahannya pa jadiyutuber kan itu bagus,",trima aja kekalahannya pa jadiyutuber kan itu bagus
@PakchikPeng,Jgn bodohi rakyat depanmatanya,jgn bodohi rakyat depanmatanya
@intanramadhani483,Kemauan rakyat itu kehendak tuhan <br>Semoga 02 amanah,kemauan rakyat itu kehendak tuhan semoga amanah
@dudungsumarna3038,"Knp hasil hitungn cepat kok jauh skali selisihnya, dgn  hasil surpai  ?",knp hasil hitungn cepat kok jauh skali selisihnya dgn hasil surpai
@haryantopanggihsetyawan6709,WOI WOI WOI SIAPA DI SINI YANGBMASIH INGAT ANGKA 5 DAN 11.. WKWKWKWK😂,woi woi woi siapa di sini yangbmasih ingat angka dan wkwkwkwk
@nikelisnawati266,Intinya yg kalah akan tetap mencari kesalahan lawan nya tapi masyarakt sudah cerdas gk butuh pemimpin yg pintarerangkai kata kalau pak prabowo bicara tulus apa adanya gk mengada2 semacam paslon 01 dan 03  kami selamq 3 kali pak prabowo nyapres sllu setia gk pernh pindah haluan,intinya yg kalah akan tetap mencari kesalahan lawan nya tapi masyarakt sudah cerdas gk butuh pemimpin yg pintarerangkai kata kalau pak prabowo bicara tulus apa adanya gk mengada2 semacam paslon dan kami selamq kali pak prabowo nyapres sllu setia gk pernh pindah haluan
@errytfilardikh,Yg curang kmu ya mas?,yg curang kmu ya mas
@user-jr6bn9il8n,"Jika terbukti hasil lembaga survei tidak sesuai aslinya tetapi hanya penggiringan opini publik saja, tolong tangkap dan adili yg seberat mungkin, karena terindikasi terlibat bekerja sama dengan rezim merusak sistem hukum, informasi dan demokrasi di Indonesia, berarti mereka sudah dikunci rezim dengan jabatan atau uang...😂😂...jadi seret mereka dengan sadis karena ikut berpartisipasi merusak pesta demokrasi di Indonesia yg kita cintai ini",jika terbukti hasil lembaga survei tidak sesuai aslinya tetapi hanya penggiringan opini publik saja tolong tangkap dan adili yg seberat mungkin karena terindikasi terlibat bekerja sama dengan rezim merusak sistem hukum informasi dan demokrasi di indonesia berarti mereka sudah dikunci rezim dengan jabatan atau uang jadi seret mereka dengan sadis karena ikut berpartisipasi merusak pesta demokrasi di indonesia yg kita cintai ini
@errytfilardikh,Dimana mana rakyat mendukung PaGi,dimana mana rakyat mendukung pagi
@rendydestara2584,"01 &amp; 03 Ga percaya hanya dapat suara segitu, padahal ya emang segitu 🤣 Mereka merasa selevel dengan Pak Jokowi, SORRY YA! Level anda masih terlalu jauhhh",ga percaya hanya dapat suara segitu padahal ya emang segitu mereka merasa selevel dengan pak jokowi sorry ya level anda masih terlalu jauhhh
@galuhoke2737,HyyyyBuy tub<br><br><br><br>    On oThe The yuyU,hyyyybuy tub on othe the yuyu
@nuri8782,02 sdh saatnya menang 2024,sdh saatnya menang
@tentangtutorial1749,Lah nyoblos kan ada semua saksi dari para paslon,lah nyoblos kan ada semua saksi dari para paslon
@ayunilasarifatoni4212,"kemaren2 pak Prabowo direndahkan oleh lawannya, dan yang membencinya , dengan kata2 nya , pak Prabowo hanya membalas dengan senyuman dan berlapang dada .<br>sekarang pak Prabowo membuktikan dari perjuangannya selama ini untuk menweqofkan sisa hidupnya untuk bangsa Indonesia,  dan sekarang pak Prabowo di pilih oleh rakyat Indonesia untuk memberikan amanah untuk nya untuk bangsa ni , tetapi ada segelintir orang masih gak mengakui dan bilang ni semua kecurangan ( karna gk mau mengaki keklhan nya ) apa kalo di ulang lagi dan menang , apa lebih baik dari pak Prabowo",kemaren2 pak prabowo direndahkan oleh lawannya dan yang membencinya dengan kata2 nya pak prabowo hanya membalas dengan senyuman dan berlapang dada sekarang pak prabowo membuktikan dari perjuangannya selama ini untuk menweqofkan sisa hidupnya untuk bangsa indonesia dan sekarang pak prabowo di pilih oleh rakyat indonesia untuk memberikan amanah untuk nya untuk bangsa ni tetapi ada segelintir orang masih gak mengakui dan bilang ni semua kecurangan karna gk mau mengaki keklhan nya apa kalo di ulang lagi dan menang apa lebih baik dari pak prabowo
@pradiptapradipta5281,😂😂😂😂😂😂<br>Ngoceh bau<br>Basi brooooo<br>Yang nama nya kalah itu ya sudah terima lapang dada legowo.<br>Bahasa mu bahasa sudah jaman manusia purba.<br><br>Selalu menuduh yang menang itu bermain curang.<br><br>Haaayyy paslon 01 ngoceh bau ja kau.<br>Program prabowo gk jelas.<br>Memang paslon mu jelas.<br><br>Sudah lah terima legowo<br>Rs jiwa masih menampung diri mu😂😂😂😂,ngoceh baubasi broooooyang nama nya kalah itu ya sudah terima lapang dada legowo bahasa mu bahasa sudah jaman manusia purba selalu menuduh yang menang itu bermain curang haaayyy paslon ngoceh bau ja kau program prabowo gk jelas memang paslon mu jelas sudah lah terima legowors jiwa masih menampung diri mu
@AhmadBima-bl8yo,Indonesia akan kiamat,indonesia akan kiamat
@ihwanalfajar6455,Merampooot,merampooot
@abduhamrie6262,"Dalam banyak ayat al-Qur’an Allah berfirman, bahwa Allah beserta orang-orang yang sabar. Setelah 4 kali Pa Prabowo pernah gagal maju sebagai Capres dan Cawapres, namun berkat kesabaran beliau, rasa optimis yang mantap  (husnuzhzhan), keikhlasan yang tinggi dan tetap tidak putus asa dengan takdir Allah, akhirnya Allah berikan juga jabatan yang namanya “Presiden” itu. Mudah-mudahan beliau selalu sehat wal afiat sampai akhir jabatan nanti, tetap ikhlas untuk membangun Bangsa dan Negara RI, amanah dan tetap adil untuk semua rakyat Indonesia, apapun partainya dan siapapun capres-cawapres pilihannya. Aamiin Yaa Rabbal &#39;Aalamiin..",dalam banyak ayat alquran allah berfirman bahwa allah beserta orangorang yang sabar setelah kali pa prabowo pernah gagal maju sebagai capres dan cawapres namun berkat kesabaran beliau rasa optimis yang mantap husnuzhzhan keikhlasan yang tinggi dan tetap tidak putus asa dengan takdir allah akhirnya allah berikan juga jabatan yang namanya presiden itu mudahmudahan beliau selalu sehat wal afiat sampai akhir jabatan nanti tetap ikhlas untuk membangun bangsa dan negara ri amanah dan tetap adil untuk semua rakyat indonesia apapun partainya dan siapapun caprescawapres pilihannya aamiin yaa rabbal aalamiin
